City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,George Town,5.4112,100.3354,78.73,93,20,2.3,1007,MY,1732577126
1,Isafjordur,66.0755,-23.124,26.92,83,9,10.4,1004,IS,1732577077
2,Port-aux-Français,-49.35,70.2167,37.8,71,67,37.18,987,TF,1732577058
3,Wailua Homesteads,22.0669,-159.378,81.12,70,0,14.97,1015,US,1732577355
4,Badger,64.8,-147.5333,21.45,84,100,0.0,1010,US,1732577356
5,Waitara,-38.925,174.25,62.01,93,100,14.03,1019,NZ,1732577357
6,Ust-Tsilma,65.441,52.1498,30.88,88,100,18.41,1005,RU,1732577358
7,Ust-Nera,64.5667,143.2,-26.27,99,62,3.6,1042,RU,1732577359
8,Rémire-Montjoly,4.9167,-52.2667,82.44,83,75,6.91,1011,GF,1732577360
9,Shar'ya,58.3686,45.5144,25.59,80,47,7.36,1030,RU,1732577361
10,Crane,31.3974,-102.3501,58.87,36,96,14.41,1023,US,1732577116
11,Koksan,38.7819,126.6664,41.76,91,100,15.28,1009,KP,1732577365
12,Stanley,54.868,-1.6985,41.02,81,0,20.71,1000,GB,1732577366
13,Olyokminsk,60.3736,120.4264,-23.48,100,48,1.5,1036,RU,1732577367
14,Zaraza,9.3503,-65.3245,80.22,76,81,5.95,1010,VE,1732577368
15,College,64.8569,-147.8028,21.18,79,100,0.0,1010,US,1732577369
16,Nishinoomote,30.7333,131.0,68.67,78,98,27.04,1015,JP,1732577370
17,Hermanus,-34.4187,19.2345,61.81,70,100,21.74,1012,ZA,1732577371
18,Ushuaia,-54.8,-68.3,49.66,66,0,17.27,1011,AR,1732577372
19,Adamstown,-25.066,-130.1015,72.61,76,23,17.16,1022,PN,1732577373
20,Atafu Village,-8.5421,-172.5159,84.07,74,17,17.63,1010,TK,1732577375
21,Qaqortoq,60.7167,-46.0333,11.61,76,0,4.03,1011,GL,1732577083
22,Iqaluit,63.7506,-68.5145,10.13,67,75,11.5,1024,CA,1732577377
23,Edinburgh of the Seven Seas,-37.0676,-12.3116,55.9,73,95,14.25,1028,SH,1732577379
24,Carnarvon,-24.8667,113.6333,70.52,56,0,23.35,1010,AU,1732577380
25,Tabou,4.423,-7.3528,78.24,85,7,5.86,1014,CI,1732577381
26,Port Augusta,-32.5,137.7667,83.88,42,61,10.69,1006,AU,1732577116
27,Cam Ranh,11.9214,109.1591,80.56,83,40,16.11,1012,VN,1732577383
28,Ad Dabbah,18.05,30.95,61.39,39,1,13.62,1016,SD,1732577385
29,Waitangi,-43.9535,-176.5597,56.84,93,40,16.96,1014,NZ,1732577386
30,Nemuro,43.3236,145.575,35.94,67,6,9.42,1030,JP,1732577387
31,Grytviken,-54.2811,-36.5092,34.43,91,100,3.36,996,GS,1732577388
32,Vega de Alatorre,20.0333,-96.6333,78.15,69,0,11.99,1015,MX,1732577389
33,Vadsø,70.0744,29.7487,33.96,80,40,18.41,986,NO,1732577390
34,Camaná,-16.6228,-72.7111,68.02,77,74,5.61,1016,PE,1732577391
35,Tiksi,71.6872,128.8694,-0.06,70,69,22.64,1010,RU,1732577392
36,Tūkrah,32.5341,20.5791,60.15,59,21,10.67,1025,LY,1732577393
37,Leer,53.2316,7.461,47.95,93,100,15.37,1008,DE,1732576919
38,Tosontsengel,48.7567,98.2839,-3.64,97,95,3.94,1053,MN,1732577396
39,Udachny,66.4167,112.4,-4.54,89,100,15.1,1013,RU,1732577397
40,Auki,-8.7676,160.7034,88.63,58,50,1.48,1009,SB,1732577398
41,Rio Negrinho,-26.2544,-49.5183,61.21,98,73,4.16,1017,BR,1732577399
42,Hammerfest,70.6634,23.6821,32.45,55,0,9.22,987,NO,1732577400
43,West Island,-12.1568,96.8225,80.58,94,20,19.57,1004,CC,1732577402
44,Alice Springs,-23.7,133.8833,80.15,69,75,10.36,1008,AU,1732577270
45,Coquimbo,-29.9533,-71.3436,63.99,64,0,9.22,1015,CL,1732577229
46,Parakou,9.3372,2.6303,72.18,22,27,5.68,1013,BJ,1732577405
47,Albany,42.6001,-73.9662,37.8,67,65,3.13,1017,US,1732577351
48,Naryan-Mar,67.6713,53.087,31.39,92,100,30.0,995,RU,1732577407
49,Bethel,41.3712,-73.414,44.15,64,0,1.99,1017,US,1732577408
50,La Foa,-21.7108,165.8276,78.06,78,85,4.81,1012,NC,1732577409
51,Yellowknife,62.456,-114.3525,19.42,94,100,18.41,1012,CA,1732577411
52,Portland,45.5234,-122.6762,52.09,81,75,5.75,1013,US,1732577304
53,Monrovia,6.3005,-10.7969,78.58,85,32,6.53,1014,LR,1732577413
54,Nuuk,64.1835,-51.7216,29.01,86,75,16.11,1012,GL,1732577324
55,Flying Fish Cove,-10.4217,105.6791,81.77,77,100,4.63,1007,CX,1732577123
56,Hithadhoo,-0.6,73.0833,82.76,77,91,16.64,1009,MV,1732577416
57,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,47,75,15.66,1007,RU,1732577417
